trial,model_type,hidden_channels,num_layers,lr,batch_size,epochs,early_stopping,dropout,val_loss
152,GAT,128,5,0.0001,16,1000,30,0.5,90.89445983886719
153,GIN,128,5,0.0001,32,1000,30,0.2,77.91608612060547
154,GIN,128,5,0.0001,32,1000,30,0.5,78.45235107421875
155,GAT,128,5,0.0001,32,1000,30,0.2,90.82965942382812
156,GAT,128,5,0.0001,32,1000,30,0.5,90.85497467041016
157,GIN,128,5,0.0003,8,1000,30,0.2,140.3957241821289
158,GIN,128,5,0.0003,8,1000,30,0.5,123.93328399658203
159,GAT,128,5,0.0003,8,1000,30,0.2,90.92882537841797
160,GAT,128,5,0.0003,8,1000,30,0.5,90.85462310791016
161,GIN,128,5,0.0003,16,1000,30,0.2,78.13365661621094
162,GIN,128,5,0.0003,16,1000,30,0.5,83.90013275146484
163,GAT,128,5,0.0003,16,1000,30,0.2,90.75859741210938
164,GAT,128,5,0.0003,16,1000,30,0.5,90.83859436035156
165,GIN,128,5,0.0003,32,1000,30,0.2,78.98414825439453
166,GIN,128,5,0.0003,32,1000,30,0.5,76.06634216308593
167,GAT,128,5,0.0003,32,1000,30,0.2,90.80314636230469
168,GAT,128,5,0.0003,32,1000,30,0.5,90.80157531738281
169,GIN,128,5,0.001,8,1000,30,0.2,133.36043884277345
170,GIN,128,5,0.001,8,1000,30,0.5,103.02360015869141
171,GAT,128,5,0.001,8,1000,30,0.2,90.76455871582031
172,GAT,128,5,0.001,8,1000,30,0.5,91.59711944580079
173,GIN,128,5,0.001,16,1000,30,0.2,80.33134429931641
174,GIN,128,5,0.001,16,1000,30,0.5,84.87708282470703
175,GAT,128,5,0.001,16,1000,30,0.2,90.82078216552735
176,GAT,128,5,0.001,16,1000,30,0.5,90.90813659667968
177,GIN,128,5,0.001,32,1000,30,0.2,76.182724609375
178,GIN,128,5,0.001,32,1000,30,0.5,77.56868743896484
179,GAT,128,5,0.001,32,1000,30,0.2,90.82877532958985
180,GAT,128,5,0.001,32,1000,30,0.5,90.80261596679688
181,GIN,128,6,0.0001,8,1000,30,0.2,153.41890991210937
182,GIN,128,6,0.0001,8,1000,30,0.5,202.34497772216798
183,GAT,128,6,0.0001,8,1000,30,0.2,90.79532806396485
184,GAT,128,6,0.0001,8,1000,30,0.5,90.91399963378906
185,GIN,128,6,0.0001,16,1000,30,0.2,98.23577880859375
186,GIN,128,6,0.0001,16,1000,30,0.5,83.60957580566406
187,GAT,128,6,0.0001,16,1000,30,0.2,90.82886657714843
188,GAT,128,6,0.0001,16,1000,30,0.5,90.85818054199218
189,GIN,128,6,0.0001,32,1000,30,0.2,78.18294250488282
190,GIN,128,6,0.0001,32,1000,30,0.5,75.7575146484375
191,GAT,128,6,0.0001,32,1000,30,0.2,90.80125305175781
192,GAT,128,6,0.0001,32,1000,30,0.5,90.84984008789063
193,GIN,128,6,0.0003,8,1000,30,0.2,150.14575378417967
194,GIN,128,6,0.0003,8,1000,30,0.5,218.8886703491211
195,GAT,128,6,0.0003,8,1000,30,0.2,90.82799163818359
196,GAT,128,6,0.0003,8,1000,30,0.5,90.81479583740234
197,GIN,128,6,0.0003,16,1000,30,0.2,89.50010833740234
198,GIN,128,6,0.0003,16,1000,30,0.5,84.39179656982422
199,GAT,128,6,0.0003,16,1000,30,0.2,90.8269677734375
200,GAT,128,6,0.0003,16,1000,30,0.5,90.86454406738281
201,GIN,128,6,0.0003,32,1000,30,0.2,78.91986938476562
202,GIN,128,6,0.0003,32,1000,30,0.5,75.28073699951172
203,GAT,128,6,0.0003,32,1000,30,0.2,90.82879272460937
204,GAT,128,6,0.0003,32,1000,30,0.5,90.79364990234374
